NAME,B19013_001E,B01003_001E,zip code tabulation area
ZCTA5 00601,18571,16721,00601
ZCTA5 00602,21702,37510,00602
ZCTA5 00603,19243,48317,00603
ZCTA5 00606,20226,5435,00606
ZCTA5 00610,23732,25413,00610
ZCTA5 00611,22566,1522,00611
ZCTA5 00612,23831,62462,00612
ZCTA5 00616,21391,9836,00616
ZCTA5 00617,22010,22699,00617
ZCTA5 00622,26682,7950,00622
ZCTA5 00623,25614,39005,00623
ZCTA5 00624,21091,21374,00624
ZCTA5 00627,26094,32753,00627
ZCTA5 00631,18295,1357,00631
ZCTA5 00636,-666666666,1071,00636
ZCTA5 00637,20665,22884,00637
ZCTA5 00638,20878,17410,00638
ZCTA5 00641,17839,23962,00641
ZCTA5 00646,33184,36099,00646
ZCTA5 00647,20357,4611,00647
ZCTA5 00650,19811,13457,00650
ZCTA5 00652,31653,4492,00652
ZCTA5 00653,15225,8665,00653
ZCTA5 00656,21511,17815,00656
ZCTA5 00659,27297,37203,00659
ZCTA5 00660,24829,15439,00660
ZCTA5 00662,20673,40705,00662
ZCTA5 00664,18065,14816,00664
ZCTA5 00667,18729,23116,00667
ZCTA5 00669,19198,27534,00669
ZCTA5 00670,16278,8553,00670
ZCTA5 00674,20039,39288,00674
ZCTA5 00676,21230,36836,00676
ZCTA5 00677,24746,15432,00677
ZCTA5 00678,22994,24848,00678
ZCTA5 00680,17857,42817,00680
ZCTA5 00682,18067,29939,00682
ZCTA5 00683,18231,29431,00683
ZCTA5 00685,17909,40323,00685
ZCTA5 00687,23010,28534,00687
ZCTA5 00688,18014,10985,00688
ZCTA5 00690,24386,6275,00690
ZCTA5 00692,25486,32717,00692
ZCTA5 00693,24072,55725,00693
ZCTA5 00694,15938,125,00694
ZCTA5 00698,21921,32945,00698
ZCTA5 00703,22147,24642,00703
ZCTA5 00704,23330,6433,00704
ZCTA5 00705,21806,24475,00705
ZCTA5 00707,19173,10400,00707
ZCTA5 00714,18931,15573,00714
ZCTA5 00715,15743,2003,00715
ZCTA5 00716,19522,27705,00716
ZCTA5 00717,13282,14651,00717
ZCTA5 00718,21481,23174,00718
ZCTA5 00719,21089,29732,00719
ZCTA5 00720,19049,20974,00720
ZCTA5 00723,23599,15835,00723
ZCTA5 00725,27505,76246,00725
ZCTA5 00727,33403,53412,00727
ZCTA5 00728,20351,37322,00728
ZCTA5 00729,28765,47653,00729
ZCTA5 00730,18077,31976,00730
ZCTA5 00731,16917,10221,00731
ZCTA5 00735,23009,11159,00735
ZCTA5 00736,28652,45528,00736
ZCTA5 00738,25365,29797,00738
ZCTA5 00739,26801,34595,00739
ZCTA5 00740,23173,1959,00740
ZCTA5 00741,25827,3733,00741
ZCTA5 00745,26980,47077,00745
ZCTA5 00751,20947,19596,00751
ZCTA5 00754,21193,36822,00754
ZCTA5 00757,23350,19974,00757
ZCTA5 00765,17531,8147,00765
ZCTA5 00766,24906,21829,00766
ZCTA5 00767,21414,30453,00767
ZCTA5 00769,20514,33953,00769
ZCTA5 00771,25662,35165,00771
ZCTA5 00772,18408,16961,00772
ZCTA5 00773,23769,17631,00773
ZCTA5 00775,27614,1281,00775
ZCTA5 00777,28175,37243,00777
ZCTA5 00778,39564,40391,00778
ZCTA5 00780,26483,13612,00780
ZCTA5 00782,17090,18397,00782
ZCTA5 00783,24429,34266,00783
ZCTA5 00784,20347,35405,00784
ZCTA5 00786,-666666666,135,00786
ZCTA5 00791,25925,45912,00791
ZCTA5 00794,22128,28450,00794
ZCTA5 00795,23391,43212,00795
ZCTA5 00901,25810,6762,00901
ZCTA5 00906,-666666666,46,00906
ZCTA5 00907,42116,15911,00907
ZCTA5 00909,26066,5466,00909
ZCTA5 00911,44008,7430,00911
ZCTA5 00912,29418,6219,00912
ZCTA5 00913,6229,6700,00913
ZCTA5 00915,14502,24484,00915
ZCTA5 00917,19516,18216,00917
ZCTA5 00918,36872,16379,00918
ZCTA5 00920,29914,16403,00920
ZCTA5 00921,21797,34197,00921
ZCTA5 00923,18482,24826,00923
ZCTA5 00924,22433,47800,00924
ZCTA5 00925,14940,4777,00925
ZCTA5 00926,39543,93308,00926
ZCTA5 00927,39838,13675,00927
ZCTA5 00934,-666666666,80,00934
ZCTA5 00949,33380,66714,00949
ZCTA5 00950,-666666666,0,00950
ZCTA5 00951,22222,399,00951
ZCTA5 00952,21960,8488,00952
ZCTA5 00953,33888,66475,00953
ZCTA5 00956,28674,67050,00956
ZCTA5 00957,29663,40357,00957
ZCTA5 00959,31400,46409,00959
ZCTA5 00960,-666666666,3340,00960
ZCTA5 00961,37015,28891,00961
ZCTA5 00962,20134,19213,00962
ZCTA5 00965,16516,5886,00965
ZCTA5 00966,56421,17715,00966
ZCTA5 00968,60353,3488,00968
ZCTA5 00969,58205,41619,00969
ZCTA5 00971,32098,25499,00971
ZCTA5 00976,38087,61306,00976
ZCTA5 00979,35521,15597,00979
ZCTA5 00982,26550,13839,00982
ZCTA5 00983,33930,31583,00983
ZCTA5 00985,35012,31783,00985
ZCTA5 00987,40295,55039,00987
ZCTA5 01001,71924,16136,01001
ZCTA5 01002,69411,24726,01002
ZCTA5 01003,-666666666,12458,01003
ZCTA5 01005,97390,4786,01005
ZCTA5 01007,99056,15406,01007
ZCTA5 01008,90625,1324,01008
ZCTA5 01009,70763,790,01009
ZCTA5 01010,101477,3694,01010
ZCTA5 01011,87012,1205,01011
ZCTA5 01012,75526,387,01012
ZCTA5 01013,64039,22950,01013
ZCTA5 01020,70971,30230,01020
ZCTA5 01022,56307,2045,01022
ZCTA5 01026,98438,1005,01026
ZCTA5 01027,73657,17678,01027
ZCTA5 01028,100997,16283,01028
ZCTA5 01029,99188,652,01029
ZCTA5 01030,92485,12374,01030
ZCTA5 01031,58125,1715,01031
ZCTA5 01032,79583,503,01032
ZCTA5 01033,110188,6088,01033
ZCTA5 01034,103603,2100,01034
ZCTA5 01035,117580,5299,01035
ZCTA5 01036,110703,4937,01036
ZCTA5 01037,84022,486,01037
ZCTA5 01038,112083,2534,01038
ZCTA5 01039,115114,1660,01039
ZCTA5 01040,51892,37949,01040
ZCTA5 01050,96328,2573,01050
ZCTA5 01053,88646,2033,01053
ZCTA5 01054,113750,1704,01054
ZCTA5 01056,78981,20846,01056
ZCTA5 01057,90436,8200,01057
ZCTA5 01060,75077,15237,01060
ZCTA5 01062,87800,9188,01062
ZCTA5 01063,250001,2121,01063
ZCTA5 01066,-666666666,115,01066
ZCTA5 01068,96207,1623,01068
ZCTA5 01069,79725,9077,01069
ZCTA5 01070,72083,593,01070
ZCTA5 01071,107292,1219,01071
ZCTA5 01072,103188,1447,01072
ZCTA5 01073,125534,6212,01073
ZCTA5 01074,76859,749,01074
ZCTA5 01075,93646,17410,01075
ZCTA5 01077,108833,9222,01077
ZCTA5 01079,-666666666,282,01079
ZCTA5 01080,87188,2308,01080
ZCTA5 01081,87337,1704,01081
ZCTA5 01082,71023,10418,01082
ZCTA5 01083,92558,2746,01083
ZCTA5 01084,91667,101,01084
ZCTA5 01085,83821,41466,01085
ZCTA5 01088,53472,654,01088
ZCTA5 01089,70401,28635,01089
ZCTA5 01092,70938,1123,01092
ZCTA5 01093,-666666666,149,01093
ZCTA5 01094,109000,64,01094
ZCTA5 01095,124682,14615,01095
ZCTA5 01096,105729,2566,01096
ZCTA5 01097,-666666666,45,01097
ZCTA5 01098,93000,1019,01098
ZCTA5 01103,21458,2336,01103
ZCTA5 01104,47530,21745,01104
ZCTA5 01105,22994,11469,01105
ZCTA5 01106,143961,15961,01106
ZCTA5 01107,31969,12270,01107
ZCTA5 01108,51851,27409,01108
ZCTA5 01109,46821,31418,01109
ZCTA5 01118,80906,15009,01118
ZCTA5 01119,59172,14059,01119
ZCTA5 01128,92125,3252,01128
ZCTA5 01129,92500,5993,01129
ZCTA5 01144,-666666666,0,01144
ZCTA5 01151,57113,9627,01151
ZCTA5 01201,68879,45072,01201
ZCTA5 01220,56285,8106,01220
ZCTA5 01222,84583,611,01222
ZCTA5 01223,82773,2588,01223
ZCTA5 01224,-666666666,201,01224
ZCTA5 01225,72028,3234,01225
ZCTA5 01226,81168,6304,01226
ZCTA5 01229,-666666666,213,01229
ZCTA5 01230,82871,8813,01230
ZCTA5 01235,76699,2456,01235
ZCTA5 01236,91172,1593,01236
ZCTA5 01237,84419,2269,01237
ZCTA5 01238,74469,5893,01238
ZCTA5 01240,99745,5024,01240
ZCTA5 01242,-666666666,165,01242
ZCTA5 01243,89063,196,01243
ZCTA5 01244,59655,243,01244
ZCTA5 01245,113750,828,01245
ZCTA5 01247,55544,14967,01247
ZCTA5 01253,108068,903,01253
ZCTA5 01254,113304,962,01254
ZCTA5 01255,85417,850,01255
ZCTA5 01256,55000,733,01256
ZCTA5 01257,80227,2331,01257
ZCTA5 01258,127813,191,01258
ZCTA5 01259,125795,778,01259
ZCTA5 01260,-666666666,20,01260
ZCTA5 01262,142679,1652,01262
ZCTA5 01264,85313,184,01264
ZCTA5 01266,98828,919,01266
ZCTA5 01267,98750,7985,01267
ZCTA5 01270,104961,1002,01270
ZCTA5 01301,54347,17876,01301
ZCTA5 01330,81691,1711,01330
ZCTA5 01331,68345,13865,01331
ZCTA5 01337,79274,2515,01337
ZCTA5 01338,-666666666,79,01338
ZCTA5 01339,72841,1361,01339
ZCTA5 01340,82578,1807,01340
ZCTA5 01341,93250,1605,01341
ZCTA5 01342,100917,1313,01342
ZCTA5 01343,84271,190,01343
ZCTA5 01344,74550,1639,01344
ZCTA5 01346,111150,453,01346
ZCTA5 01347,72500,114,01347
ZCTA5 01349,69712,753,01349
ZCTA5 01350,64375,115,01350
ZCTA5 01351,99375,2644,01351
ZCTA5 01354,90000,1831,01354
ZCTA5 01355,80327,963,01355
ZCTA5 01360,102470,2875,01360
ZCTA5 01364,54061,7668,01364
ZCTA5 01366,107656,1173,01366
ZCTA5 01367,89375,574,01367
ZCTA5 01368,101875,1497,01368
ZCTA5 01370,76715,3641,01370
ZCTA5 01373,102578,4784,01373
ZCTA5 01375,61442,3653,01375
ZCTA5 01376,57857,5032,01376
ZCTA5 01378,95000,861,01378
ZCTA5 01379,68750,742,01379
ZCTA5 01380,70893,32,01380
ZCTA5 01420,70334,41677,01420
ZCTA5 01430,115146,6450,01430
ZCTA5 01431,110536,3188,01431
ZCTA5 01432,105142,8124,01432
ZCTA5 01434,109651,1889,01434
ZCTA5 01436,88421,3720,01436
ZCTA5 01438,-666666666,192,01438
ZCTA5 01440,63526,21298,01440
ZCTA5 01450,189355,11228,01450
ZCTA5 01451,206607,5359,01451
ZCTA5 01452,102344,4339,01452
ZCTA5 01453,82098,43635,01453
ZCTA5 01460,146250,10150,01460
ZCTA5 01462,109884,11822,01462
ZCTA5 01463,126824,11693,01463
ZCTA5 01464,121875,7017,01464
ZCTA5 01468,110938,4157,01468
ZCTA5 01469,113162,6803,01469
ZCTA5 01473,101161,8289,01473
ZCTA5 01474,130156,2249,01474
ZCTA5 01475,85638,10194,01475
ZCTA5 01501,101929,16780,01501
ZCTA5 01503,122411,3311,01503
ZCTA5 01504,98986,9211,01504
ZCTA5 01505,124732,4896,01505
ZCTA5 01506,71875,3442,01506
ZCTA5 01507,119809,13359,01507
ZCTA5 01510,93849,15430,01510
ZCTA5 01515,76382,2120,01515
ZCTA5 01516,147859,9287,01516
ZCTA5 01518,111193,2835,01518
ZCTA5 01519,153750,7738,01519
ZCTA5 01520,147582,16864,01520
ZCTA5 01521,86806,2576,01521
ZCTA5 01522,118824,3021,01522
ZCTA5 01523,130444,8470,01523
ZCTA5 01524,93191,6110,01524
ZCTA5 01525,-666666666,0,01525
ZCTA5 01527,116000,13899,01527
ZCTA5 01529,115789,3156,01529
ZCTA5 01531,99375,925,01531
ZCTA5 01532,174358,15694,01532
ZCTA5 01534,134539,6097,01534
ZCTA5 01535,81010,4739,01535
ZCTA5 01536,105795,7119,01536
ZCTA5 01537,94261,1821,01537
ZCTA5 01540,118389,11521,01540
ZCTA5 01541,150577,3500,01541
ZCTA5 01542,107674,2572,01542
ZCTA5 01543,155504,9202,01543
ZCTA5 01545,136225,38440,01545
ZCTA5 01550,59397,17806,01550
ZCTA5 01560,98884,4914,01560
ZCTA5 01561,-666666666,0,01561
ZCTA5 01562,79086,11961,01562
ZCTA5 01564,136027,8111,01564
ZCTA5 01566,135802,7054,01566
ZCTA5 01568,161429,7926,01568
ZCTA5 01569,122458,14127,01569
ZCTA5 01570,68934,17674,01570
ZCTA5 01571,85179,11886,01571
ZCTA5 01581,134474,21591,01581
ZCTA5 01583,100427,7516,01583
ZCTA5 01585,70753,4942,01585
ZCTA5 01588,88735,10357,01588
ZCTA5 01590,155938,9287,01590
ZCTA5 01602,94351,25791,01602
ZCTA5 01603,63646,21034,01603
ZCTA5 01604,72911,39988,01604
ZCTA5 01605,54805,31086,01605
ZCTA5 01606,92537,22269,01606
ZCTA5 01607,66365,8755,01607
ZCTA5 01608,45962,4951,01608
ZCTA5 01609,61411,23184,01609
ZCTA5 01610,43757,28719,01610
ZCTA5 01611,118389,2401,01611
ZCTA5 01612,133750,4996,01612
ZCTA5 01701,127000,32270,01701
ZCTA5 01702,78784,39761,01702
ZCTA5 01718,125972,528,01718
ZCTA5 01719,151000,5468,01719
ZCTA5 01720,154101,23322,01720
ZCTA5 01721,127106,18694,01721
ZCTA5 01730,158286,14478,01730
ZCTA5 01731,101194,1745,01731
ZCTA5 01740,198475,5698,01740
ZCTA5 01741,250001,5209,01741
ZCTA5 01742,211435,18337,01742
ZCTA5 01745,180833,660,01745
ZCTA5 01746,154684,14964,01746
ZCTA5 01747,115216,6024,01747
ZCTA5 01748,204418,19050,01748
ZCTA5 01749,107202,19959,01749
ZCTA5 01752,95047,41398,01752
ZCTA5 01754,119549,10663,01754
ZCTA5 01756,129837,6266,01756
